game_name,content,score,at
Arknights,bagus,5,2025-11-27 12:21:12
Arknights,"tolong dong update sizenya di perkecil, gamenya sudah oke kok 👍",3,2025-11-26 13:13:28
Arknights,"baru comeback akun hilang, padahal dulu bisa login via akun google aja, sekarang harus buat akun yostar",1,2025-11-23 21:21:06
Arknights,game apik banyak istri:3,5,2025-11-23 19:59:29
Arknights,game terbaek,5,2025-11-22 19:21:03
Arknights,"Game yang bagus dan saya juga menyukai dengan apa yang dibawakan game ini, untuk gacha di game ini cukup sulit, memang iya ini game strategi tidak harus punya Operator bintang 6 bintang 3 juga bisa menang tapi permasalahannya penyimpanan Sanity nya yang gak banyak dan pengisiannya juga terbilang lambat membuat progresnya jadi cukup lama apalagi saya pemain pemula dan F2P jadinya gak bisa berharap lebih.",4,2025-11-21 18:38:09
Arknights,"Bagus, f2p friendly banget, walau agak kesusahan dikit pas lawan boss"".",5,2025-11-21 12:47:40
Arknights,"Tolong tambahkan fitur auto deploy bisa berapa kali dong yostar kyk sistem auto di game E7, soalnya kalo setiap selesai auto deploy harus mencet buat start lagi agak nanggung knp gak sekalian beberapa sekaligus. Selebihnya udh mantep sih, thanks",5,2025-11-16 06:26:02
Arknights,"Game nya bagus,yang awal awal ga suka game kaya tower defend gini tapi arknight itu beda,gameplay unik,story bagus,gacha juga lumayan,stage yg ga monoton,sering ngadain event,musik nya juga pada enak dan tydack kikir. animenya udh tayang, gass terus HG animenya😋 Endfield Tomorrow 🗣️🗣️",5,2025-11-16 00:05:58
Arknights,Game yang sangat ramah newbie 😁,5,2025-11-13 22:03:02
Arknights,Pengguna meminta agar aplikasi mendukung bahasa Indonesia untuk menjangkau lebih banyak pengguna yang nyaman. adanya fitur tombol ultimate yang dapat diakses langsung untuk meningkatkan pengalaman bermain yang lebih lancar dan responsif.,2,2025-11-12 17:57:13
Arknights,"tolong agar saat pertama download jangan harus mendownload semua data yang diperlukan, berikan lah pilihan download beberapa resource saja dan ada manajemen resource sesudahnya.",1,2025-11-12 12:14:28
Arknights,"gamenya seru, karakternya juga keren-keren, sejauh ini tidak ada masalah dengan gamenya, semoga untuk kedepannya tersedia bahasa Indonesia.",5,2025-11-10 17:05:28
